"","candidate_name","vote","harris","state","is_vote"
"127","Kamala Harris","no",1,"Arizona","0"
"128","Kamala Harris","no",1,"Pennsylvania","0"
"129","Kamala Harris","yes",1,"Pennsylvania","1"
"130","Kamala Harris","no",1,"Georgia","0"
"131","Kamala Harris","no",1,"Pennsylvania","0"
"132","Kamala Harris","no",1,"Arizona","0"
"133","Kamala Harris","no",1,"Arizona","0"
"134","Kamala Harris","no",1,"Arizona","0"
"135","Kamala Harris","no",1,"Arizona","0"
"136","Kamala Harris","no",1,"Georgia","0"
"137","Kamala Harris","no",1,"Georgia","0"
"138","Kamala Harris","no",1,"Georgia","0"
"139","Kamala Harris","no",1,"Georgia","0"
"140","Kamala Harris","no",1,"Pennsylvania","0"
"141","Kamala Harris","no",1,"Michigan","0"
"142","Kamala Harris","no",1,"Pennsylvania","0"
"143","Kamala Harris","no",1,"Arizona","0"
"144","Kamala Harris","no",1,"Michigan","0"
"145","Kamala Harris","no",1,"Pennsylvania","0"
"146","Kamala Harris","no",1,"Georgia","0"
"147","Kamala Harris","no",1,"Pennsylvania","0"
"148","Kamala Harris","no",1,"Michigan","0"
"149","Kamala Harris","no",1,"Pennsylvania","0"
"150","Kamala Harris","no",1,"Georgia","0"
"151","Kamala Harris","no",1,"Georgia","0"
"152","Kamala Harris","no",1,"Georgia","0"
"153","Kamala Harris","no",1,"Georgia","0"
"154","Kamala Harris","no",1,"Michigan","0"
"155","Kamala Harris","no",1,"Arizona","0"
"156","Kamala Harris","no",1,"Georgia","0"
"157","Kamala Harris","yes",1,"Michigan","1"
"158","Kamala Harris","no",1,"Pennsylvania","0"
"159","Kamala Harris","yes",1,"Pennsylvania","1"
"160","Kamala Harris","yes",1,"Pennsylvania","1"
"161","Kamala Harris","no",1,"Arizona","0"
"162","Kamala Harris","yes",1,"Michigan","1"
"163","Kamala Harris","no",1,"Pennsylvania","0"
"164","Kamala Harris","no",1,"Georgia","0"
"165","Kamala Harris","no",1,"Pennsylvania","0"
"166","Kamala Harris","no",1,"Pennsylvania","0"
"167","Kamala Harris","yes",1,"Michigan","1"
"168","Kamala Harris","yes",1,"Michigan","1"
"169","Kamala Harris","yes",1,"Pennsylvania","1"
"170","Kamala Harris","yes",1,"Pennsylvania","1"
"171","Kamala Harris","yes",1,"Michigan","1"
"172","Kamala Harris","yes",1,"Michigan","1"
"173","Kamala Harris","no",1,"Pennsylvania","0"
"174","Kamala Harris","no",1,"Pennsylvania","0"
"175","Kamala Harris","yes",1,"Pennsylvania","1"
"176","Kamala Harris","yes",1,"Pennsylvania","1"
"177","Kamala Harris","no",1,"Pennsylvania","0"
"178","Kamala Harris","no",1,"Pennsylvania","0"
"179","Kamala Harris","no",1,"Arizona","0"
"180","Kamala Harris","yes",1,"Arizona","1"
"181","Kamala Harris","yes",1,"Arizona","1"
"182","Kamala Harris","yes",1,"Arizona","1"
"183","Kamala Harris","no",1,"Georgia","0"
"184","Kamala Harris","yes",1,"Georgia","1"
"185","Kamala Harris","yes",1,"Georgia","1"
"186","Kamala Harris","yes",1,"Georgia","1"
"187","Kamala Harris","no",1,"Michigan","0"
"188","Kamala Harris","yes",1,"Michigan","1"
"189","Kamala Harris","no",1,"Michigan","0"
"190","Kamala Harris","no",1,"Michigan","0"
"191","Kamala Harris","no",1,"Pennsylvania","0"
"192","Kamala Harris","yes",1,"Pennsylvania","1"
"193","Kamala Harris","yes",1,"Pennsylvania","1"
"194","Kamala Harris","yes",1,"Pennsylvania","1"
"195","Kamala Harris","no",1,"Pennsylvania","0"
"196","Kamala Harris","no",1,"Georgia","0"
"197","Kamala Harris","no",1,"Georgia","0"
"198","Kamala Harris","no",1,"Pennsylvania","0"
"199","Kamala Harris","no",1,"Pennsylvania","0"
"200","Kamala Harris","no",1,"Michigan","0"
"201","Kamala Harris","no",1,"Arizona","0"
"202","Kamala Harris","no",1,"Michigan","0"
"203","Kamala Harris","no",1,"Michigan","0"
"204","Kamala Harris","no",1,"Georgia","0"
"205","Kamala Harris","no",1,"Arizona","0"
"206","Kamala Harris","no",1,"Arizona","0"
"207","Kamala Harris","no",1,"Georgia","0"
"208","Kamala Harris","no",1,"Michigan","0"
"209","Kamala Harris","no",1,"Pennsylvania","0"
"210","Kamala Harris","no",1,"Georgia","0"
"211","Kamala Harris","no",1,"Georgia","0"
"212","Kamala Harris","no",1,"Arizona","0"
"213","Kamala Harris","no",1,"Michigan","0"
"214","Kamala Harris","no",1,"Pennsylvania","0"
"215","Kamala Harris","no",1,"Georgia","0"
"216","Kamala Harris","no",1,"Georgia","0"
"217","Kamala Harris","no",1,"Georgia","0"
"218","Kamala Harris","no",1,"Michigan","0"
"219","Kamala Harris","no",1,"Pennsylvania","0"
"220","Kamala Harris","yes",1,"Michigan","1"
"221","Kamala Harris","yes",1,"Pennsylvania","1"
"222","Kamala Harris","no",1,"Arizona","0"
"223","Kamala Harris","no",1,"Arizona","0"
"224","Kamala Harris","no",1,"Arizona","0"
"225","Kamala Harris","no",1,"Arizona","0"
"226","Kamala Harris","no",1,"Pennsylvania","0"
"227","Kamala Harris","no",1,"Michigan","0"
"228","Kamala Harris","no",1,"Georgia","0"
"229","Kamala Harris","no",1,"Arizona","0"
"230","Kamala Harris","no",1,"Michigan","0"
"231","Kamala Harris","no",1,"Arizona","0"
"232","Kamala Harris","no",1,"Georgia","0"
"233","Kamala Harris","no",1,"Michigan","0"
"234","Kamala Harris","no",1,"Pennsylvania","0"
"235","Kamala Harris","no",1,"Pennsylvania","0"
"236","Kamala Harris","no",1,"Pennsylvania","0"
"237","Kamala Harris","no",1,"Arizona","0"
"238","Kamala Harris","no",1,"Georgia","0"
"239","Kamala Harris","no",1,"Michigan","0"
"240","Kamala Harris","no",1,"Pennsylvania","0"
"241","Kamala Harris","no",1,"Michigan","0"
"242","Kamala Harris","no",1,"Arizona","0"
"243","Kamala Harris","yes",1,"Michigan","1"
"244","Kamala Harris","no",1,"Pennsylvania","0"
"245","Kamala Harris","yes",1,"Georgia","1"
"246","Kamala Harris","no",1,"Arizona","0"
"247","Kamala Harris","no",1,"Georgia","0"
"248","Kamala Harris","no",1,"Michigan","0"
"249","Kamala Harris","no",1,"Pennsylvania","0"
"250","Kamala Harris","yes",1,"Michigan","1"
"251","Kamala Harris","no",1,"Arizona","0"
"252","Kamala Harris","no",1,"Arizona","0"
"253","Kamala Harris","no",1,"Arizona","0"
"254","Kamala Harris","no",1,"Arizona","0"
"255","Kamala Harris","no",1,"Arizona","0"
"256","Kamala Harris","yes",1,"Arizona","1"
"257","Kamala Harris","no",1,"Georgia","0"
"258","Kamala Harris","yes",1,"Georgia","1"
"259","Kamala Harris","no",1,"Georgia","0"
"260","Kamala Harris","no",1,"Georgia","0"
"261","Kamala Harris","no",1,"Georgia","0"
"262","Kamala Harris","yes",1,"Georgia","1"
"263","Kamala Harris","no",1,"Michigan","0"
"264","Kamala Harris","no",1,"Michigan","0"
"265","Kamala Harris","no",1,"Michigan","0"
"266","Kamala Harris","no",1,"Michigan","0"
"267","Kamala Harris","yes",1,"Pennsylvania","1"
"268","Kamala Harris","yes",1,"Pennsylvania","1"
"269","Kamala Harris","yes",1,"Pennsylvania","1"
"270","Kamala Harris","yes",1,"Pennsylvania","1"
"271","Kamala Harris","no",1,"Michigan","0"
"272","Kamala Harris","no",1,"Michigan","0"
"273","Kamala Harris","no",1,"Michigan","0"
"274","Kamala Harris","no",1,"Pennsylvania","0"
"275","Kamala Harris","no",1,"Pennsylvania","0"
"276","Kamala Harris","no",1,"Pennsylvania","0"
"277","Kamala Harris","no",1,"Pennsylvania","0"
"278","Kamala Harris","no",1,"Pennsylvania","0"
"279","Kamala Harris","no",1,"Pennsylvania","0"
"280","Kamala Harris","no",1,"Pennsylvania","0"
"281","Kamala Harris","no",1,"Michigan","0"
"282","Kamala Harris","no",1,"Michigan","0"
"283","Kamala Harris","no",1,"Michigan","0"
"284","Kamala Harris","no",1,"Michigan","0"
"285","Kamala Harris","no",1,"Michigan","0"
"286","Kamala Harris","no",1,"Michigan","0"
"287","Kamala Harris","no",1,"Michigan","0"
"288","Kamala Harris","no",1,"Michigan","0"
"289","Kamala Harris","yes",1,"Pennsylvania","1"
"290","Kamala Harris","no",1,"Michigan","0"
"291","Kamala Harris","no",1,"Michigan","0"
"292","Kamala Harris","no",1,"Pennsylvania","0"
"293","Kamala Harris","no",1,"Pennsylvania","0"
"294","Kamala Harris","no",1,"Arizona","0"
"295","Kamala Harris","no",1,"Arizona","0"
"296","Kamala Harris","no",1,"Georgia","0"
"297","Kamala Harris","no",1,"Georgia","0"
"298","Kamala Harris","no",1,"Pennsylvania","0"
"299","Kamala Harris","no",1,"Pennsylvania","0"
"300","Kamala Harris","no",1,"Pennsylvania","0"
"301","Kamala Harris","no",1,"Arizona","0"
"302","Kamala Harris","no",1,"Arizona","0"
"303","Kamala Harris","yes",1,"Pennsylvania","1"
"304","Kamala Harris","no",1,"Pennsylvania","0"
"305","Kamala Harris","no",1,"Pennsylvania","0"
"306","Kamala Harris","no",1,"Pennsylvania","0"
"307","Kamala Harris","yes",1,"Michigan","1"
"308","Kamala Harris","yes",1,"Michigan","1"
"309","Kamala Harris","yes",1,"Michigan","1"
"310","Kamala Harris","yes",1,"Michigan","1"
"311","Kamala Harris","no",1,"Georgia","0"
"312","Kamala Harris","no",1,"Georgia","0"
"313","Kamala Harris","no",1,"Georgia","0"
"314","Kamala Harris","no",1,"Georgia","0"
"315","Kamala Harris","no",1,"Arizona","0"
"316","Kamala Harris","no",1,"Arizona","0"
"317","Kamala Harris","no",1,"Arizona","0"
"318","Kamala Harris","no",1,"Arizona","0"
"319","Kamala Harris","no",1,"Pennsylvania","0"
"320","Kamala Harris","no",1,"Pennsylvania","0"
"321","Kamala Harris","no",1,"Arizona","0"
"322","Kamala Harris","no",1,"Georgia","0"
"323","Kamala Harris","no",1,"Michigan","0"
"324","Kamala Harris","no",1,"Pennsylvania","0"
"325","Kamala Harris","no",1,"Arizona","0"
"326","Kamala Harris","yes",1,"Arizona","1"
"327","Kamala Harris","no",1,"Arizona","0"
"328","Kamala Harris","no",1,"Arizona","0"
"329","Kamala Harris","no",1,"Pennsylvania","0"
"330","Kamala Harris","no",1,"Pennsylvania","0"
"331","Kamala Harris","no",1,"Georgia","0"
"332","Kamala Harris","no",1,"Georgia","0"
"333","Kamala Harris","no",1,"Georgia","0"
"334","Kamala Harris","no",1,"Georgia","0"
"335","Kamala Harris","no",1,"Arizona","0"
"336","Kamala Harris","no",1,"Pennsylvania","0"
"337","Kamala Harris","yes",1,"Pennsylvania","1"
"338","Kamala Harris","no",1,"Michigan","0"
"339","Kamala Harris","no",1,"Michigan","0"
"340","Kamala Harris","no",1,"Pennsylvania","0"
"341","Kamala Harris","no",1,"Pennsylvania","0"
"342","Kamala Harris","no",1,"Michigan","0"
"343","Kamala Harris","no",1,"Michigan","0"
